inspection_id,date,school_id,has_electricity,has_drinking_water,has_functional_toilet,has_boundary_wall,has_playground,inspector_name,remarks
INSP02966,2025-04-02,SCH0476,True,True,True,True,,Fariq Tripathi,Good condition
INSP00970,2025-05-13,SCH0337,True,True,True,True,True,Unnati Kulkarni,Good condition
INSP01386,2025-06-26,SCH0127,True,True,False,True,True,Girik Natt,Toilets locked
INSP01234,2025-06-02,SCH0372,False,False,True,True,False,Rudra Kurian,Good condition
INSP02997,2025-10-29,SCH0517,True,True,True,True,False,Mohammed Dara,Average
INSP02408,2025-10-30,SCH0334,,False,True,False,True,,No remarks
INSP02849,2025-07-23,SCH0229,True,True,True,True,False,Meera Sachar,Needs repair
INSP01240,2025-12-29,SCH0072,True,True,True,False,False,Shivani Konda,Toilets locked
INSP02649,2026-01-20,SCH0516,True,True,True,True,True,Yachana Mody,Good condition
INSP01667,2025-05-12,SCH0182,True,True,True,False,True,Eiravati Choudhry,Good condition
INSP02398,2026-01-05,SCH0221,True,False,True,False,True,Ira Choudhary,No remarks
INSP01451,2025-12-29,SCH0026,True,False,True,True,True,,Needs repair
INSP00613,2025-10-04,SCH0092,True,True,True,,False,Maya Chada,Good condition
INSP01189,2025-12-25,SCH0063,True,False,True,True,False,Caleb Lala,Toilets locked
INSP00832,2025-10-02,SCH0509,False,,True,True,False,Xavier Gade,
INSP02501,2025-05-10,SCH0033,True,True,True,False,False,Kamya Ravi,Toilets locked
INSP00333,2025-09-10,SCH0477,True,,True,False,True,Jasmit Ramachandran,Toilets locked
INSP02727,2025-10-06,SCH0522,True,True,True,True,True,Chasmum Uppal,Good condition
INSP00145,2025-11-22,SCH0215,False,True,True,True,False,Yachana Mangat,Toilets locked
INSP02233,2025-10-23,SCH0428,True,True,True,True,False,Samaksh Khare,Average
INSP01671,2025-12-22,SCH0042,True,True,True,False,True,Manan Mangat,Needs repair
INSP01776,2025-09-14,SCH0403,False,True,True,True,,Manbir Sodhi,Needs repair
INSP01733,2025-10-23,SCH0175,True,True,False,True,True,Qarin Nayar,Toilets locked
INSP02204,2026-02-06,SCH0010,False,True,True,False,True,,
INSP02552,2025-08-04,SCH0140,False,True,True,True,True,Gaurangi Ratti,Toilets locked
INSP00219,2025-09-09,SCH0325,False,True,True,True,False,Zehaan Deshpande,Average
INSP00292,2025-11-25,SCH0371,True,True,True,False,True,Chasmum Ganguly,No remarks
INSP02177,2025-04-26,SCH0583,True,True,,False,True,Jonathan Jain,Good condition
INSP00818,2025-09-16,SCH0078,True,False,True,True,False,Krishna Gaba,Average
INSP00602,2025-11-20,SCH0360,True,True,True,True,False,Umang Sagar,Average
INSP00018,2026-03-15,SCH0582,True,True,True,True,False,Unnati Goel,
INSP00171,2025-04-02,SCH0067,False,True,False,False,False,Sneha Ghosh,Good condition
INSP01738,2025-10-02,SCH0230,True,True,True,False,False,Osha Bajwa,
INSP02283,2025-09-21,SCH0559,True,True,True,True,True,Sai Warrior,Average
INSP02803,2026-02-19,SCH0238,False,True,True,False,False,Ekaraj Sehgal,
INSP01408,2026-03-10,SCH0274,,True,True,False,True,Kamala Roy,Average
INSP00179,2025-09-12,SCH0577,True,True,True,True,True,Riya Kant,Good condition
INSP01337,2025-06-03,SCH0011,True,True,True,False,False,Imaran Tandon,Toilets locked
INSP01815,2025-05-01,SCH0240,False,False,True,True,False,Lavanya Choudhry,Average
INSP02205,2025-11-07,SCH0037,True,True,True,False,False,Rudra Bail,Toilets locked
INSP01412,2025-08-05,SCH0596,False,True,True,False,False,Sai Bhasin,Average
INSP02746,2025-11-13,SCH0422,True,True,True,True,,Isaac Kalla,
INSP01663,2026-03-06,SCH0456,False,True,True,False,,Neel Ganesh,Needs repair
INSP01227,2025-06-29,SCH0398,True,False,,True,True,Isaiah Mangat,
INSP02025,2025-10-08,SCH0219,True,True,True,True,True,Bhanumati Chaudhari,
INSP02771,2026-02-03,SCH0339,True,True,True,True,False,Rajata Mistry,Toilets locked
INSP02097,2025-05-05,SCH0564,False,False,True,True,,Laksh Dugar,Good condition
INSP00135,2026-09-03,SCH0542,,True,True,False,True,Jackson Narasimhan,Toilets locked
INSP02846,2026-02-12,SCH0258,False,True,True,True,False,Ishanvi Arya,Average
INSP02987,2025-06-24,SCH0131,,True,True,False,True,Kevin Gade,Needs repair
INSP00103,2026-02-24,SCH0022,True,True,True,True,True,Netra Ram,Average
INSP00415,2025-11-05,SCH0093,True,True,True,True,True,Liam Sibal,Average
INSP02697,2026-02-12,SCH0122,True,True,True,False,True,Hritik Naidu,Toilets locked
INSP01484,2025-12-21,SCH0362,True,True,True,True,True,Hamsini Pandya,Toilets locked
INSP01188,2025-06-15,SCH0005,False,False,True,False,True,Max Shenoy,Toilets locked
INSP01730,2025-10-26,SCH0476,False,True,True,True,False,,Good condition
INSP02006,2025-08-02,SCH0075,True,True,True,False,False,Zashil Hegde,Average
INSP02154,2025-10-12,SCH0434,True,False,True,True,False,,No remarks
INSP02572,2025-04-28,SCH0556,True,False,True,False,True,Girindra Tiwari,
INSP01147,2025-09-30,SCH0535,True,False,True,False,False,Vritti Agarwal,No remarks
INSP00310,2026-02-20,SCH0037,True,True,True,True,False,,
INSP02274,2025-12-19,SCH0434,True,True,True,True,False,Baghyawati Chana,Toilets locked
INSP02440,2026-01-09,SCH0458,False,True,True,True,False,Shivansh Trivedi,Toilets locked
INSP00193,2026-03-12,SCH0533,False,True,True,True,True,Shivansh Tara,No remarks
INSP00195,2025-12-07,SCH0346,True,True,True,True,False,Nimrat Hayer,Toilets locked
INSP00777,2025-06-18,SCH0058,True,False,True,True,False,Oeshi Pradhan,Needs repair
INSP01678,2026-03-24,SCH0263,True,True,True,True,False,Fitan Halder,Toilets locked
INSP01236,2025-11-03,SCH0442,False,True,False,False,False,,Good condition
INSP01394,2025-09-14,SCH0261,True,True,True,False,False,Yamini Naidu,Needs repair
INSP00045,2025-04-11,SCH0003,True,True,False,True,True,Nicholas Keer,No remarks
INSP01765,2025-04-28,SCH0167,False,True,False,False,False,Zinal Bhavsar,Average
INSP00946,2025-06-09,SCH0129,True,True,True,False,True,Isaac Khatri,
INSP02052,2025-08-18,SCH0398,True,True,False,True,False,Peter Mody,No remarks
INSP00830,2025-07-20,SCH0526,True,False,True,True,False,Yatin Ghose,Toilets locked
INSP02967,2025-09-16,SCH0153,False,True,True,False,False,Falak Jaggi,Good condition
INSP02922,2026-02-04,SCH0194,True,True,True,True,False,Isaiah Nagarajan,
INSP01279,2025-12-13,SCH0475,True,True,False,True,False,Ekani Oommen,Average
INSP02900,2025-06-28,SCH0138,False,True,True,True,False,Maya Sastry,
INSP02808,2025-04-30,SCH0052,False,True,True,False,True,Vyanjana Badal,Good condition
INSP01802,2026-02-28,SCH0364,False,True,True,True,False,Aishani Dhillon,Needs repair
INSP00486,2025-09-06,SCH0501,,True,True,False,True,Faras Yohannan,Average
INSP02372,2026-03-13,SCH0600,True,False,True,True,False,Upkaar Narang,Good condition
INSP00443,2025-05-15,SCH0530,True,False,True,True,,Gauri Deshmukh,Average
INSP01642,2025-11-26,SCH0239,True,True,True,,True,Vasudha Jayaraman,Average
INSP02598,2025-04-28,SCH0223,True,True,True,True,True,Pranav Master,Average
INSP01714,2025-07-05,SCH0320,False,True,True,True,True,,Good condition
INSP02982,2025-09-26,SCH0169,False,True,,,True,Sanya Choudhry,Toilets locked
INSP00757,2025-10-22,SCH0129,False,True,True,False,True,Bhanumati Sridhar,Needs repair
INSP01881,2025-04-29,SCH0593,True,True,True,True,False,Hemani Chander,No remarks
INSP00241,2025-11-09,SCH0360,True,True,True,True,True,Peter Rajagopalan,Needs repair
INSP02355,2026-01-22,SCH0211,True,True,False,True,True,Alexander Gokhale,
INSP01666,2025-12-27,SCH0199,True,True,False,False,False,Diya Saini,
INSP02431,2026-03-16,SCH0083,True,True,True,False,True,Ikshita Dhillon,No remarks
INSP01744,2026-10-02,SCH0308,True,True,True,False,True,Ekansh Bhandari,No remarks
INSP00140,2025-07-10,SCH0103,True,True,False,True,False,Zaitra Chandran,Good condition
INSP00347,2025-09-16,SCH0194,,True,False,True,True,Neel Murthy,
INSP01537,2025-10-29,SCH0105,True,True,True,False,True,Chandran Gopal,
INSP00315,2025-11-13,SCH0483,True,True,True,False,False,Anvi Tara,Needs repair
INSP01743,2026-02-06,SCH0257,True,True,True,True,True,,
INSP00323,2025-10-02,SCH0316,True,True,True,False,False,Raksha Jain,Good condition
INSP01682,2026-01-07,SCH0302,True,True,True,True,True,Vaishnavi Rau,Average
INSP01460,2025-05-09,SCH0289,True,False,True,False,,Charles Bahri,Average
INSP02034,2026-01-12,SCH0386,True,False,False,False,False,Zarna Rau,
INSP00257,2025-07-21,SCH0408,,True,True,True,True,Advay Rama,Average
INSP02300,2026-01-17,SCH0566,,False,True,False,True,Balhaar Wable,Toilets locked
INSP01732,2025-12-11,SCH0529,True,False,False,True,False,Dalaja Lala,Needs repair
INSP02601,2026-03-01,SCH0154,True,True,True,False,False,Vrishti Dugar,Toilets locked
INSP00204,2025-06-09,SCH0590,True,True,False,True,True,Jacob Mani,No remarks
INSP01785,2025-03-04,SCH0488,False,True,True,False,False,Vidhi Om,Good condition
INSP00299,2025-12-14,SCH0599,False,True,True,False,False,Odika Bhandari,
INSP00052,2025-12-07,SCH0320,False,True,True,False,False,Daksha Kapadia,Good condition
INSP00215,2025-05-19,SCH0419,True,True,True,False,False,Ikbal Nagy,Needs repair
INSP00064,2026-03-03,SCH0051,True,True,True,False,False,Forum Choudhary,Toilets locked
INSP02497,2026-02-23,SCH0004,True,True,True,True,False,Ayushman Vyas,Needs repair
INSP02801,2025-08-05,SCH0473,False,False,False,True,True,Lavanya Thaker,Needs repair
INSP01358,2025-12-11,SCH0527,True,False,True,False,False,Ojasvi Chad,Toilets locked
INSP00300,2025-04-13,SCH0443,False,True,True,False,True,Yauvani Narang,Toilets locked
INSP00433,2025-08-27,SCH0523,True,True,True,True,True,Viraj Munshi,Toilets locked
INSP01101,2026-02-26,SCH0512,False,True,True,False,True,Abdul Dayal,Average
INSP00053,2025-04-05,SCH0112,True,True,True,True,False,Lipika Agarwal,Needs repair
INSP00795,2025-10-20,SCH0458,False,True,True,True,,Caleb Pandya,No remarks
INSP02078,2025-10-15,SCH0542,False,True,True,False,False,Raghav Bakshi,Average
INSP01252,2025-10-22,SCH0450,True,True,True,False,False,Dev Sawhney,Average
INSP01075,2025-09-03,SCH0176,False,True,False,True,False,Oviya Sidhu,Average
INSP02378,2025-07-03,SCH0441,True,True,True,True,False,Manthan Bora,
INSP01588,2025-12-12,SCH0440,True,True,True,True,True,Yatin Mander,Toilets locked
INSP01289,2025-10-31,SCH0546,True,True,True,True,True,Brijesh Natarajan,Toilets locked
INSP01675,2025-08-26,SCH0035,True,True,True,True,,Rachana Vaidya,No remarks
INSP02133,2026-01-12,SCH0367,True,False,True,False,False,Krishna Viswanathan,Toilets locked
INSP01448,2026-03-03,SCH0422,True,True,True,,False,Isaac Pall,Average
INSP02897,2025-10-14,SCH0263,True,True,False,False,False,Idika Muni,No remarks
INSP00071,2025-08-20,SCH0047,True,,True,False,False,Advaith Ghosh,No remarks
INSP00643,2026-03-30,SCH0506,True,True,True,True,True,Anjali Lalla,No remarks
INSP02543,2026-03-04,SCH0164,False,True,True,False,True,Quincy Ramaswamy,No remarks
INSP00945,2025-12-11,SCH0073,True,True,True,False,True,Omaja Ghose,Toilets locked
INSP02852,2026-01-11,SCH0050,True,True,True,,False,Hardik Venkatesh,
INSP02539,2025-04-21,SCH0131,True,,True,True,True,Jeet Swaminathan,
INSP01106,2025-04-13,SCH0254,True,,True,True,False,,No remarks
INSP01175,2025-04-22,SCH0422,False,False,True,False,False,Amaira Tara,Average
INSP02670,2025-08-10,SCH0525,False,True,False,True,False,Krish Kala,
INSP01757,2025-04-25,SCH0354,,True,True,True,True,Siya Kashyap,
INSP00479,2025-07-09,SCH0535,True,False,True,False,,Eiravati Buch,Toilets locked
INSP02178,2026-01-03,SCH0160,True,True,False,False,True,Madhav Rattan,Needs repair
INSP02429,2025-06-14,SCH0291,True,True,False,True,False,Ekantika Nath,Needs repair
INSP00730,2025-09-10,SCH0305,True,False,True,True,False,Eshana Dey,Needs repair
INSP01761,2025-07-18,SCH0564,False,True,True,True,,Tanveer Reddy,Average
INSP02282,2025-10-30,SCH0168,True,True,True,False,True,Yug Sur,Average
INSP00290,2025-12-28,SCH0416,,True,,True,True,Warjas Vala,
INSP01092,2025-12-23,SCH0532,True,True,True,False,True,Balendra Warrior,Needs repair
INSP01420,2025-05-01,SCH0040,False,True,True,True,,Darsh Nori,Needs repair
INSP00451,2025-07-15,SCH0490,True,True,False,False,False,Qushi Tella,Average
INSP02443,2026-02-23,SCH0473,True,,True,True,,Chavvi Pradhan,
INSP00808,2025-07-02,SCH0493,True,False,False,True,,Azaan Basak,
INSP00464,2025-06-30,SCH0227,True,True,True,True,False,Bhavya Doshi,Average
INSP02529,2025-07-19,SCH0041,True,True,False,True,True,Advik Raja,Needs repair
INSP02699,2025-03-12,SCH0482,True,True,False,True,False,,
INSP00568,2026-03-31,SCH0043,True,True,False,False,False,Edhitha Srivastava,Needs repair
INSP01611,2025-06-11,SCH0493,True,True,True,True,True,Zehaan Virk,Needs repair
INSP00077,2025-08-18,SCH0186,False,False,True,True,False,Aachal Chandra,Good condition
INSP00332,2025-08-20,SCH0450,True,True,True,True,True,Fiyaz Chanda,Average
INSP00612,2026-03-17,SCH0327,True,True,True,False,,Geetika Raman,
INSP01074,2025-12-10,SCH0265,False,True,True,True,False,Tanvi Wagle,Toilets locked
INSP00786,2026-02-13,SCH0313,False,False,False,True,True,Zarna Bhargava,No remarks
INSP00046,2025-11-14,SCH0280,True,True,True,True,False,Naksh Ray,Good condition
INSP02908,2025-06-12,SCH0248,True,True,False,True,False,Bhavani Gaba,Toilets locked
INSP00344,2026-06-01,SCH0451,True,True,True,True,True,Ganga Korpal,Toilets locked
INSP02171,2025-11-27,SCH0171,True,True,False,False,False,Anirudh Muni,Good condition
INSP01560,2025-09-06,SCH0554,True,True,True,False,False,,Needs repair
INSP00545,2025-06-02,SCH0302,False,True,True,True,True,Ishanvi Wason,Needs repair
INSP01024,2025-08-11,SCH0428,True,True,True,True,True,Rehaan Ahluwalia,No remarks
INSP00153,2025-10-15,SCH0540,True,True,True,True,True,Geetika Kulkarni,
INSP01981,2025-05-03,SCH0499,True,True,True,False,False,,Toilets locked
INSP01323,2025-09-07,SCH0264,True,True,True,True,False,Triya Dutta,No remarks
INSP01019,2025-06-06,SCH0303,True,True,True,True,False,Vedant Hayer,No remarks
INSP02182,2026-01-29,SCH0248,True,True,True,False,True,Krisha Mital,Good condition
INSP00001,2025-09-22,SCH0087,True,True,True,True,,Ira Ranganathan,Good condition
INSP01463,2025-06-28,SCH0247,False,True,False,True,True,Alexander Garde,Needs repair
INSP00622,2025-10-05,SCH0089,False,True,True,False,False,Girish Batta,Average
INSP00409,2025-04-17,SCH0069,True,True,True,False,True,Vaishnavi Sarkar,No remarks
INSP02837,2025-04-06,SCH0424,False,False,False,False,False,Gabriel Biswas,Average
INSP01967,2025-08-30,SCH0105,True,False,True,False,False,Yoshita Sridhar,Toilets locked
INSP02845,2025-11-29,SCH0341,True,True,True,True,True,Parth Bawa,Average
INSP01622,2026-03-15,SCH0546,True,True,False,False,True,Chaman Dubey,
INSP01367,2025-12-21,SCH0078,True,True,True,True,True,Suhani Viswanathan,Good condition
INSP00888,2025-08-21,SCH0179,False,False,True,,False,Niharika Subramaniam,
INSP01845,2025-05-20,SCH0105,True,True,True,True,False,Wridesh Patil,
INSP00033,2025-06-24,SCH0323,True,True,True,True,True,Urvi Dani,
INSP00212,2025-05-22,SCH0080,True,True,True,False,False,Daksh Vora,Good condition
INSP02551,2025-12-20,SCH0186,True,True,True,True,False,David Cheema,Toilets locked
INSP00015,2025-04-05,SCH0124,True,True,False,True,True,Yashoda Jani,Average
INSP00094,2025-10-28,SCH0234,True,False,True,False,True,Ekapad Rattan,Needs repair
INSP01256,2025-08-30,SCH0037,True,True,True,True,True,Manya Mody,No remarks
INSP01398,2025-11-05,SCH0517,True,True,True,False,False,Wahab Patil,Toilets locked
INSP02819,2025-11-10,SCH0116,True,True,False,,True,,Good condition
INSP00355,2026-02-03,SCH0410,True,True,,True,False,Yoshita Nazareth,Average
INSP00150,2025-12-30,SCH0428,True,False,False,False,True,Christopher Dutt,Good condition
INSP00255,2025-05-05,SCH0540,True,True,False,True,True,Jai Varughese,Average
INSP02030,2025-04-04,SCH0010,True,True,False,True,False,,
INSP00599,2025-04-13,SCH0292,True,True,False,True,False,Bakhshi Shan,
INSP00185,2025-05-30,SCH0041,False,True,True,False,False,Osha Iyengar,No remarks
INSP00579,2025-06-07,SCH0345,False,True,False,False,False,,Average
INSP01091,2025-09-12,SCH0447,True,True,True,True,True,,
INSP01174,2025-11-25,SCH0340,True,True,True,True,False,Maanav Rau,Needs repair
INSP02252,2025-12-04,SCH0476,True,True,True,False,False,Anita Kannan,
INSP00472,2025-08-26,SCH0242,True,True,True,False,True,Janya Lalla,Average
INSP01966,2026-03-13,SCH0281,True,True,False,False,True,Vihaan Varma,Good condition
