inspection_id,date,school_id,has_electricity,has_drinking_water,has_functional_toilet,has_boundary_wall,has_playground,inspector_name,remarks,infrastructure_deficit_pct
INSP02966,2025-04-02,SCH0476,,1.0,1.0,1.0,,Fariq Tripathi,Good condition,0.0
INSP00970,2025-05-13,SCH0337,1.0,1.0,1.0,1.0,,Unnati Kulkarni,Good condition,0.0
INSP01386,2025-06-26,SCH0127,1.0,1.0,0.0,,1.0,Girik Natt,Toilets locked,25.0
INSP01234,2025-06-02,SCH0372,0.0,0.0,1.0,1.0,0.0,Rudra Kurian,Good condition,60.0
INSP02997,2025-10-29,SCH0517,1.0,1.0,1.0,1.0,0.0,Mohammed Dara,Average,20.0
INSP02408,2025-10-30,SCH0334,,0.0,1.0,0.0,1.0,Unknown Inspector,No remarks,50.0
INSP02849,2025-07-23,S0229,1.0,1.0,1.0,1.0,0.0,Meera Sachar,Needs repair,20.0
INSP01240,2025-12-29,0072,1.0,1.0,1.0,0.0,0.0,Shivani Konda,Toilets locked,40.0
INSP02649,2026-01-20,SCH0516,1.0,1.0,,1.0,1.0,Yachana Mody,Good condition,0.0
INSP01667,2025-05-12,SCH0182,1.0,1.0,1.0,,1.0,Eiravati Choudhry,Good condition,0.0
INSP02398,2026-05-01,SCH0221,1.0,0.0,1.0,0.0,1.0,Ira Choudhary,No remarks,40.0
INSP01451,2025-12-29,S0026,1.0,0.0,1.0,1.0,1.0,Unknown Inspector,Needs repair,20.0
INSP00613,2025-10-04,SCH0092,1.0,1.0,1.0,,0.0,Maya Chada,Good condition,25.0
INSP01189,2025-12-25,SCH0063,1.0,0.0,1.0,1.0,0.0,Caleb Lala,Toilets locked,40.0
INSP00832,2025-10-02,S0509,0.0,,1.0,1.0,0.0,Xavier Gade,No Remarks,50.0
INSP02501,2025-05-10,SCH0033,1.0,1.0,1.0,0.0,0.0,Kamya Ravi,Toilets locked,40.0
INSP00333,2025-10-09,SCH0477,1.0,,1.0,0.0,1.0,Jasmit Ramachandran,Toilets locked,25.0
INSP02727,2025-10-06,SCH0522,,1.0,,,1.0,Chasmum Uppal,Good condition,0.0
INSP00145,2025-11-22,SCH0215,0.0,1.0,1.0,1.0,0.0,Yachana Mangat,Toilets locked,40.0
INSP02233,2025-10-23,SCH0428,1.0,1.0,1.0,1.0,0.0,Samaksh Khare,Average,20.0
